PVMonth,PVDay,PVHour,TotalkWh,AvgkWh,MaxkWh,MinkWh,ProdkWh62032213_2019,ProdkWh62032213_2020,ProdkWh62032213_2021,ProdkWh62032213_2022,ProdkWh84071567_2019,ProdkWh84071567_2020,ProdkWh84071567_2021,ProdkWh84071567_2022,ProdkWh84071569_2019,ProdkWh84071569_2020,ProdkWh84071569_2021,ProdkWh84071569_2022,ProdkWh84071570_2019,ProdkWh84071570_2020,ProdkWh84071570_2021,ProdkWh84071570_2022
6,14,21,4.48,0.28,0.49,0.2,0.2,0.2,0.2,0.2,0.29,0.29,0.29,0.49,0.28,0.28,0.28,0.28,0.3,0.3,0.3,0.3
6,15,7,2.56,0.16,0.28,0.0,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.28,0.0,0.0,0.28,0.15,0.15,0.15,0.15
6,15,8,15.51,0.97,1.65,0.0,1.0,1.4,0.8,0.6,0.49,0.49,0.59,0.98,1.1,0.0,0.83,1.38,1.65,1.5,1.5,1.2
6,15,9,49.27,3.08,5.1,0.0,4.19,4.19,3.99,2.0,1.96,1.66,1.86,2.45,3.86,0.0,1.93,3.03,5.1,4.8,4.65,3.6
6,15,10,87.8,5.49,8.25,0.0,6.39,7.99,7.79,5.79,5.18,5.09,5.18,3.33,6.89,0.0,2.76,4.41,6.3,8.25,7.95,4.5
6,15,11,123.14,7.7,10.98,0.0,10.58,9.18,10.98,7.39,8.41,7.73,8.51,5.97,9.65,0.0,6.07,7.17,10.05,4.5,10.5,6.45
6,15,12,154.8,9.67,14.37,0.0,14.37,6.99,12.98,10.18,7.14,8.12,10.27,9.2,12.13,0.0,7.44,9.93,13.95,9.9,12.6,9.6
6,15,13,158.98,9.94,14.55,0.0,10.38,9.98,13.78,11.18,7.92,6.75,11.84,11.15,13.79,0.0,8.0,11.31,14.55,5.4,11.7,11.25
6,15,14,160.68,10.04,14.37,0.0,11.18,6.59,14.37,11.98,5.97,10.17,11.15,9.39,14.34,0.0,12.41,11.58,14.1,5.85,12.15,9.45
6,15,15,156.4,9.78,15.17,0.0,15.17,4.79,11.18,11.58,5.09,9.2,12.42,12.52,14.34,0.0,11.86,9.1,10.2,7.8,10.05,11.1
6,15,16,146.52,9.16,13.24,0.0,10.58,8.58,11.78,9.78,11.74,11.93,12.82,4.3,13.24,0.0,12.41,2.76,11.55,11.1,10.05,3.9
6,15,17,114.23,7.14,12.42,0.0,11.58,6.79,2.0,5.99,12.42,12.13,8.51,1.47,11.31,0.0,10.75,2.48,9.75,9.9,7.95,1.2
6,15,18,76.47,4.78,9.88,0.0,8.58,3.19,0.0,0.8,9.88,7.73,8.32,1.17,8.55,0.0,7.44,2.21,6.3,5.4,5.7,1.2
6,15,19,47.09,2.94,6.26,0.0,4.39,2.0,0.4,0.6,6.26,3.82,3.52,2.74,4.69,0.0,4.14,3.58,2.7,2.85,3.0,2.4
6,15,20,20.47,1.28,2.05,0.0,1.2,1.2,1.0,0.4,1.66,2.05,1.37,1.66,1.65,0.0,1.38,1.65,0.9,1.65,1.35,1.35
6,15,21,4.7,0.29,0.45,0.0,0.2,0.4,0.4,0.0,0.29,0.39,0.29,0.39,0.28,0.0,0.28,0.28,0.3,0.45,0.3,0.45
6,16,7,2.06,0.13,0.28,0.0,0.2,0.0,0.2,0.2,0.2,0.1,0.1,0.2,0.28,0.0,0.0,0.28,0.15,0.0,0.0,0.15
6,16,8,12.85,0.8,1.5,0.0,0.8,0.8,0.8,0.2,1.17,0.78,0.49,0.88,1.1,0.0,1.1,0.83,1.5,1.05,0.3,1.05
6,16,9,37.2,2.32,4.2,0.0,4.19,3.39,3.99,1.2,2.74,1.96,0.98,1.37,2.21,0.0,2.76,2.21,4.2,3.15,1.8,1.05
6,16,10,70.97,4.44,7.59,0.0,7.39,7.59,7.59,3.39,5.38,4.01,1.57,2.93,4.41,0.0,6.89,6.62,6.15,2.85,2.25,1.95
6,16,11,100.4,6.28,10.58,0.0,7.99,10.38,10.58,4.39,9.2,5.77,4.4,4.21,5.79,0.0,3.86,9.38,9.75,4.5,6.45,3.75
6,16,12,118.92,7.43,11.93,0.0,10.78,6.39,11.58,3.59,11.93,8.9,5.67,3.23,11.03,0.0,4.96,11.31,10.2,8.85,7.35,3.15
6,16,13,135.96,8.5,13.51,0.75,11.98,3.79,10.98,2.4,13.11,13.3,4.7,1.37,13.51,0.83,11.58,12.41,12.15,12.9,10.2,0.75
6,16,14,169.49,10.59,14.34,2.99,11.98,6.99,13.38,2.99,14.18,13.4,9.1,8.22,14.34,8.0,9.38,12.68,13.95,13.35,10.35,7.2
6,16,15,174.0,10.88,14.77,5.99,8.98,9.58,10.58,5.99,14.77,10.66,10.27,10.27,13.51,10.2,11.31,12.13,13.5,12.9,8.25,11.1
6,16,16,182.34,11.4,13.99,9.3,9.38,12.98,9.58,11.18,13.99,13.5,13.11,10.37,12.96,11.86,11.03,9.65,11.55,11.25,9.3,10.65
6,16,17,152.65,9.54,12.42,5.18,10.78,10.58,9.98,9.58,12.42,12.13,11.84,5.18,11.31,9.38,8.0,7.72,9.45,9.0,9.6,5.7
6,16,18,107.2,6.7,9.98,2.76,8.58,4.79,6.39,6.79,9.98,9.59,9.49,3.72,8.55,8.27,2.76,5.79,6.15,5.85,6.3,4.2
6,16,19,62.84,3.93,6.16,1.95,4.59,4.99,3.79,3.59,6.16,6.16,5.87,2.35,4.69,4.69,3.03,3.03,2.7,2.55,2.7,1.95
6,16,20,21.91,1.37,2.54,0.55,1.2,1.2,1.8,1.4,1.76,1.37,1.66,2.54,1.65,1.38,0.55,1.65,0.9,0.6,0.75,1.5
6,16,21,4.35,0.27,0.59,0.0,0.2,0.2,0.4,0.2,0.29,0.29,0.29,0.59,0.0,0.28,0.28,0.28,0.15,0.3,0.3,0.3
6,17,7,2.12,0.13,0.45,0.0,0.2,0.0,0.0,0.2,0.29,0.1,0.2,0.1,0.28,0.0,0.0,0.0,0.45,0.0,0.15,0.15
6,17,8,15.95,1.0,2.1,0.15,1.2,0.8,0.2,1.2,0.39,0.88,0.2,1.47,1.1,0.83,1.38,1.65,1.5,0.9,0.15,2.1
6,17,9,45.43,2.84,5.4,0.6,4.19,3.79,1.0,2.0,2.25,2.35,0.78,2.93,3.86,3.31,2.76,3.31,5.4,1.65,0.6,5.25
6,17,10,78.69,4.92,9.15,0.6,8.19,5.59,1.2,3.99,4.99,4.21,1.37,5.48,6.89,5.51,3.86,5.51,9.15,5.1,0.6,7.05
6,17,11,106.55,6.66,10.95,2.35,10.38,5.79,4.19,2.8,9.2,6.07,2.35,6.46,9.65,8.0,5.51,8.55,10.95,4.2,2.7,9.75
6,17,12,131.91,8.24,11.58,4.11,8.39,10.58,4.39,8.98,9.29,8.61,4.11,6.26,11.58,9.65,8.27,10.75,9.3,8.55,4.35,8.85
6,17,13,167.17,10.45,14.17,3.82,8.58,14.17,8.19,12.98,10.86,11.35,3.82,9.0,13.51,11.86,8.27,12.13,12.3,13.65,5.1,11.4
6,17,14,171.99,10.75,14.97,4.35,7.19,14.97,4.39,13.18,11.74,13.89,4.6,11.84,13.79,13.24,9.38,12.68,11.1,12.75,4.35,12.9
6,17,15,173.53,10.85,14.18,4.01,6.19,12.78,4.59,12.58,13.21,14.18,4.01,9.88,13.51,14.06,12.41,11.58,12.45,13.2,6.45,12.45
6,17,16,160.18,10.01,13.51,3.33,4.99,9.98,6.59,11.58,9.1,13.5,3.33,12.82,13.24,13.51,12.41,9.38,9.45,11.55,7.8,10.95
6,17,17,126.88,7.93,12.13,4.01,4.39,6.19,4.39,9.58,5.48,12.13,4.01,10.86,11.31,11.31,11.03,8.0,6.3,9.15,4.2,8.55
6,17,18,91.18,5.7,9.68,1.4,1.4,4.19,2.99,7.19,7.24,9.68,2.05,7.14,8.82,7.17,7.72,5.79,5.55,5.85,3.6,4.8
6,17,19,57.05,3.57,6.16,0.8,0.8,3.99,2.0,3.79,4.6,6.16,2.15,5.09,5.24,4.96,4.14,3.03,3.3,2.55,2.25,3.0
6,17,20,22.33,1.4,2.0,0.4,2.0,1.6,0.4,1.4,1.76,1.66,1.76,1.66,1.65,1.38,1.93,1.38,0.9,0.75,1.05,1.05
6,17,21,3.02,0.19,0.39,0.0,0.2,0.2,0.2,0.2,0.29,0.2,0.29,0.39,0.0,0.0,0.0,0.0,0.15,0.3,0.3,0.3
